# Last update 09/10/2025
a=718000000,b=728000000,d=5G 700u Orange
a=728000000,b=733000000,d=5G 700u Vodafone
a=773000000,b=783000000,d=5G 700d Orange
a=783000000,b=788000000,d=5G 700d Vodafone
a=832000000,b=837000000,d=4G 800u DIGI
a=837000000,b=847000000,d=4G 800u Vodafone
a=847000000,b=857000000,d=4G 800u Orange
a=857000000,b=862000000,d=4G 800u Vodafone
a=791000000,b=796000000,d=4G 800d DIGI
a=796000000,b=806000000,d=4G 800d Vodafone
a=806000000,b=816000000,d=4G 800d Orange
a=816000000,b=821000000,d=4G 800d Vodafone
a=880000000,b=890000000,d=2G 900u Vodafone
a=890000000,b=905000000,d=2G 900u DIGI
a=905000000,b=915000000,d=2G 900u Orange
a=925000000,b=935000000,d=2G 900d Vodafone
a=935000000,b=950000000,d=2G 900d DIGI
a=950000000,b=960000000,d=2G 900d Orange
a=145200000,b=149200000,d=4G 1500 Orange
a=171000000,b=174000000,d=2G_4G 1800u Vodafone
a=174000000,b=176000000,d=2G_4G 1800u Orange
a=176000000,b=178500000,d=2G_4G 1800u DIGI
a=180500000,b=183500000,d=2G_4G 1800d Vodafone
a=183500000,b=185500000,d=2G_4G 1800d Orange
a=185500000,b=188000000,d=2G_4G 1800d DIGI
a=192030000,b=195010000,d=3G 2100u DIGI
a=195010000,b=196490000,d=3G 2100u Orange
a=196490000,b=197970000,d=3G 2100u Vodafone
a=211030000,b=214010000,d=3G 2100d DIGI
a=214010000,b=215490000,d=3G 2100d Orange
a=215490000,b=216970000,d=3G 2100d Vodafone
a=250000000,b=251000000,d=4G 2600u DIGI
a=251000000,b=253000000,d=4G 2600u Orange
a=253000000,b=257000000,d=4G 2600u DIGI
a=262000000,b=263000000,d=4G 2600d DIGI
a=263000000,b=265000000,d=4G 2600d Orange
a=265000000,b=269000000,d=4G 2600d DIGI
a=257000000,b=261500000,d=4G 2600 DIGI
a=349000000,b=353000000,d=5G 3500 Vodafone
a=353000000,b=364500000,d=5G 3500 Orange
a=370000000,b=375000000,d=5G 3500 DIGI
